RANK,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,YEAR
3,MIL,36,25,11,0.694,48.3,124.3,44.6,89.3,50.0,14.1,37.5,37.6,21.0,27.0,77.8,9.6,34.8,44.3,26.2,13.4,6.7,5.5,4.4,20.4,21.0,4.8,2023-24
4,DEN,38,26,12,0.684,48.0,116.1,44.3,89.6,49.5,11.8,31.7,37.4,15.6,20.7,75.1,10.9,33.1,44.0,29.7,12.2,7.1,5.4,5.0,18.9,18.9,5.4,2023-24
5,OKC,34,23,11,0.676,48.3,121.8,44.7,89.1,50.2,13.2,33.4,39.4,19.2,22.8,84.1,8.2,32.5,40.7,26.6,12.6,8.3,6.5,4.9,20.4,19.8,7.6,2023-24
6,PHI,35,23,12,0.657,48.1,119.5,42.5,89.3,47.6,11.9,32.4,36.6,22.6,26.9,83.8,11.0,32.7,43.7,25.5,12.6,9.1,6.1,6.0,20.5,19.9,8.2,2023-24
7,LAC,35,22,13,0.629,48.1,116.6,42.4,87.1,48.7,12.8,33.2,38.6,18.9,23.3,81.1,10.5,33.1,43.6,25.3,13.6,8.1,5.2,4.6,19.9,20.0,5.0,2023-24
8,SAC,35,21,14,0.6,48.6,117.7,43.1,91.0,47.4,15.3,41.1,37.2,16.2,22.3,72.9,10.5,32.9,43.4,28.8,13.6,7.1,3.9,5.1,20.5,19.3,-0.2,2023-24
9,DAL,37,22,15,0.595,48.0,119.0,43.1,91.2,47.3,15.3,41.5,36.9,17.4,23.2,74.9,10.3,32.1,42.4,25.4,12.2,6.9,4.6,4.0,18.5,21.4,2.2,2023-24
9,NOP,37,22,15,0.595,48.1,115.8,42.4,87.6,48.4,11.8,31.0,37.9,19.2,24.9,76.8,11.0,33.5,44.5,26.5,13.6,8.2,4.9,5.4,19.8,19.4,4.2,2023-24
11,CLE,36,21,15,0.583,48.3,113.3,42.3,88.9,47.6,12.8,36.1,35.4,15.8,20.6,76.6,11.2,33.6,44.8,26.7,14.1,7.8,4.5,5.4,19.3,19.3,1.7,2023-24
11,NYK,36,21,15,0.583,48.0,115.8,41.8,89.5,46.7,13.1,34.7,37.8,19.1,24.5,77.8,12.5,32.9,45.4,24.0,13.3,7.5,3.5,5.3,18.7,20.7,3.3,2023-24
11,ORL,36,21,15,0.583,48.4,113.9,41.2,87.2,47.3,10.9,31.1,35.1,20.6,26.9,76.5,11.0,32.8,43.8,24.9,15.1,8.2,5.5,5.2,21.5,22.8,1.9,2023-24
14,IND,35,20,15,0.571,48.0,126.8,47.3,93.0,50.9,14.6,38.3,38.1,17.5,22.0,79.6,9.8,30.5,40.4,31.0,13.3,7.9,6.3,5.5,22.4,18.9,2.7,2023-24
14,MIA,35,20,15,0.571,48.0,112.5,39.9,85.4,46.8,12.8,33.3,38.4,19.8,24.1,82.3,9.6,31.8,41.4,26.1,13.3,7.6,3.2,5.0,18.9,20.2,0.9,2023-24
16,HOU,34,18,16,0.529,48.3,112.5,40.8,88.0,46.4,12.6,33.9,37.0,18.3,23.4,78.0,10.1,34.9,44.9,25.1,13.1,7.0,4.1,5.2,21.7,20.1,2.6,2023-24
17,PHX,36,19,17,0.528,48.4,115.4,41.1,85.8,47.9,11.8,31.5,37.3,21.3,26.1,81.8,10.8,32.9,43.7,26.2,14.7,7.2,6.3,5.2,19.1,21.6,1.6,2023-24
18,LAL,37,18,19,0.486,48.3,113.5,42.1,87.0,48.4,10.7,30.3,35.2,18.5,24.0,77.2,8.5,34.9,43.4,27.3,14.2,7.8,5.6,4.9,16.7,20.3,-1.1,2023-24
19,GSW,36,17,19,0.472,48.4,117.1,41.9,90.4,46.3,14.8,40.1,36.9,18.6,23.5,79.4,12.9,33.5,46.4,28.1,14.8,6.7,3.6,4.5,20.8,19.8,0.2,2023-24
20,UTA,37,17,20,0.459,48.5,114.6,41.7,90.8,46.0,12.9,37.2,34.7,18.2,22.2,81.9,13.0,33.4,46.4,27.5,16.5,7.1,5.8,6.3,19.7,19.5,-4.1,2023-24
21,BKN,37,16,21,0.432,48.3,114.9,42.2,92.0,45.9,13.7,37.3,36.8,16.7,22.1,75.7,13.1,33.8,46.8,26.3,12.7,6.5,5.5,4.9,19.0,18.9,-1.6,2023-24
21,CHI,37,16,21,0.432,48.5,109.1,40.5,89.4,45.4,11.6,32.6,35.5,16.5,21.0,78.5,11.6,31.6,43.2,23.5,12.2,8.0,4.9,5.0,19.4,18.9,-2.4,2023-24
23,TOR,36,15,21,0.417,48.3,115.0,43.3,90.1,48.1,11.6,33.0,35.3,16.8,22.6,74.0,11.7,32.8,44.5,29.5,13.4,7.5,5.0,5.1,18.4,18.8,-0.7,2023-24
24,ATL,35,14,21,0.4,48.3,122.2,43.9,93.5,47.0,14.1,38.6,36.5,20.2,24.6,82.1,13.1,31.7,44.7,25.8,13.7,8.1,4.5,5.3,19.1,20.3,-1.5,2023-24
25,MEM,36,13,23,0.361,48.3,107.8,39.2,89.1,44.0,13.3,39.3,33.9,16.2,20.9,77.3,9.8,32.6,42.4,24.4,14.7,7.4,6.4,6.6,20.7,19.8,-5.7,2023-24
26,POR,35,10,25,0.286,48.6,109.0,39.7,90.8,43.7,12.5,34.9,35.9,17.0,21.5,79.2,12.4,29.3,41.6,22.6,15.3,8.3,4.5,6.3,20.7,18.8,-7.4,2023-24
27,CHA,33,8,25,0.242,48.2,109.5,41.5,89.2,46.5,11.3,31.7,35.7,15.2,19.3,78.8,10.6,30.5,41.1,25.2,13.8,6.8,4.9,5.3,19.3,18.5,-10.6,2023-24
28,WAS,35,6,29,0.171,48.0,115.1,43.4,90.6,47.9,12.4,35.2,35.3,15.9,20.9,76.2,8.4,30.9,39.3,27.5,13.8,7.7,5.2,5.1,19.5,18.7,-10.9,2023-24
29,SAS,35,5,30,0.143,48.3,111.3,41.7,91.4,45.6,12.8,37.2,34.3,15.3,19.5,78.2,9.8,33.1,42.9,28.9,15.1,7.1,5.9,4.3,19.0,18.4,-11.4,2023-24
30,DET,36,3,33,0.083,48.3,111.5,41.7,89.0,46.8,10.4,30.4,34.4,17.7,22.6,78.4,11.4,31.8,43.3,25.8,16.1,6.1,5.0,6.2,22.9,19.0,-11.1,2023-24
