Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Precious Achiuwa,C-PF,24,TOT,37,0.0,16.2,2.8,5.8,0.479,0.4,1.4,0.264,2.4,4.3,0.55,0.512,0.7,1.2,0.587,2.0,3.2,5.2,1.3,0.5,0.5,1.0,1.6,6.6
2.0,Bam Adebayo,C,26,MIA,34,34.0,35.1,7.8,15.6,0.498,0.0,0.3,0.091,7.8,15.3,0.507,0.499,5.7,7.4,0.78,2.3,8.3,10.6,4.4,1.1,1.0,2.5,2.6,21.4
3.0,Ochai Agbaji,SG,23,UTA,45,10.0,20.1,2.2,5.1,0.435,1.0,3.0,0.331,1.2,2.2,0.577,0.53,0.3,0.4,0.75,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8
4.0,Santi Aldama,PF,23,MEM,33,7.0,23.2,3.9,9.0,0.432,1.5,4.5,0.333,2.4,4.4,0.534,0.517,1.0,1.7,0.618,1.2,4.4,5.5,1.8,0.7,0.8,1.1,1.6,10.3
5.0,Nickeil Alexander-Walker,SG,25,MIN,44,14.0,22.7,2.4,5.6,0.429,1.4,3.8,0.37,1.0,1.9,0.549,0.553,0.4,0.6,0.704,0.4,1.4,1.8,2.5,0.9,0.6,1.0,1.8,6.6
6.0,Grayson Allen,SG,28,PHO,39,39.0,33.4,4.6,9.1,0.51,2.8,5.7,0.493,1.8,3.4,0.538,0.664,1.7,1.8,0.903,0.8,3.4,4.2,3.0,0.9,0.6,1.4,2.1,13.7
7.0,Jarrett Allen,C,25,CLE,37,37.0,30.3,6.2,9.3,0.661,0.0,0.0,0.0,6.2,9.3,0.663,0.661,2.6,3.5,0.75,3.5,6.8,10.3,3.0,0.9,1.1,1.8,2.4,14.9
8.0,Jose Alvarado,PG,25,NOP,27,0.0,16.0,2.4,5.9,0.413,1.3,3.4,0.396,1.1,2.6,0.435,0.525,0.7,1.1,0.645,0.4,1.7,2.1,1.8,0.9,0.4,0.8,1.4,7.0
9.0,Kyle Anderson,PF,30,MIN,44,2.0,22.6,2.5,5.3,0.466,0.1,0.7,0.172,2.4,4.7,0.507,0.476,1.4,2.0,0.698,0.7,2.9,3.5,4.0,0.8,0.6,1.3,1.6,6.4
10.0,Giannis Antetokounmpo,PF,29,MIL,42,42.0,35.2,11.6,19.2,0.605,0.4,1.8,0.24,11.2,17.5,0.643,0.616,7.5,11.3,0.669,2.7,9.0,11.7,6.2,1.3,1.1,3.6,2.9,31.3
12.0,Cole Anthony,PG,23,ORL,43,0.0,24.2,4.4,10.2,0.432,1.2,3.6,0.331,3.2,6.7,0.486,0.49,3.0,3.5,0.836,1.0,3.1,4.2,3.2,0.8,0.5,1.9,2.6,13.0
13.0,OG Anunoby,SF,26,TOT,39,39.0,34.3,5.6,11.4,0.493,2.1,5.5,0.38,3.6,6.0,0.597,0.584,1.6,1.9,0.803,1.0,3.3,4.3,2.3,1.2,0.7,1.5,2.4,14.9
15.0,Deni Avdija,SF,23,WAS,43,43.0,27.5,4.6,9.3,0.5,1.0,2.7,0.368,3.6,6.5,0.555,0.554,2.2,2.9,0.768,1.0,5.2,6.2,3.9,0.9,0.4,1.7,2.5,12.5
19.0,Marvin Bagley III,C,24,TOT,30,12.0,19.9,4.6,7.8,0.588,0.1,0.3,0.222,4.5,7.5,0.603,0.592,2.0,2.7,0.744,2.3,3.1,5.4,1.1,0.3,0.6,1.2,1.8,11.2
20.0,Amari Bailey,PG,19,CHO,2,0.0,5.5,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5
21.0,Patrick Baldwin Jr.,SF,21,WAS,14,0.0,7.4,1.0,2.2,0.452,0.6,1.2,0.529,0.4,1.0,0.357,0.597,0.5,0.7,0.7,0.4,1.7,2.1,0.4,0.1,0.2,0.4,1.2,3.1
22.0,LaMelo Ball,PG,22,CHO,21,21.0,32.8,8.4,19.4,0.435,3.2,9.0,0.362,5.2,10.4,0.498,0.518,4.2,4.9,0.873,1.4,3.9,5.3,8.0,1.8,0.2,3.8,3.6,24.3
23.0,Mo Bamba,C,25,PHI,24,0.0,9.0,1.6,3.0,0.549,0.4,0.8,0.556,1.2,2.2,0.547,0.62,0.6,0.9,0.667,1.4,1.7,3.0,0.5,0.4,0.8,0.6,1.2,4.3
24.0,Paolo Banchero,PF,21,ORL,44,44.0,34.8,8.0,17.8,0.45,1.4,4.0,0.354,6.6,13.8,0.478,0.49,5.1,7.3,0.697,1.2,5.9,7.0,4.8,1.0,0.6,3.2,2.1,22.5
25.0,Desmond Bane,SG,25,MEM,37,37.0,34.5,8.9,18.8,0.474,3.3,8.6,0.384,5.6,10.2,0.551,0.563,3.3,3.8,0.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
26.0,Dalano Banton,PG,24,BOS,20,1.0,7.2,0.9,2.1,0.429,0.1,0.6,0.167,0.8,1.5,0.533,0.452,0.7,0.9,0.778,0.6,1.1,1.7,0.6,0.2,0.2,0.5,1.0,2.6
