Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1.0,Boston Celtics,E,A,34.0,10.0,0.773,9.68,121.97,112.16,9.81,10.1,122.12,111.88,10.24
2.0,Oklahoma City Thunder,W,NW,31.0,13.0,0.705,8.34,122.12,113.79,8.32,8.32,122.43,114.12,8.31
3.0,Philadelphia 76ers,E,A,29.0,13.0,0.69,8.26,121.45,113.07,8.38,7.22,121.0,113.65,7.34
4.0,Minnesota Timberwolves,W,NW,31.0,13.0,0.705,5.7,116.05,110.25,5.79,6.01,116.12,110.02,6.1
5.0,Los Angeles Clippers,W,P,28.0,14.0,0.667,5.88,121.6,115.65,5.95,5.8,121.69,115.83,5.86
6.0,Denver Nuggets,W,NW,31.0,14.0,0.689,4.98,120.39,115.21,5.17,5.2,120.37,114.98,5.39
7.0,New Orleans Pelicans,W,SW,26.0,18.0,0.591,4.95,119.61,114.53,5.08,4.86,119.7,114.73,4.97
8.0,New York Knicks,E,A,27.0,17.0,0.614,4.59,118.91,114.09,4.82,4.27,118.62,114.13,4.49
9.0,Cleveland Cavaliers,E,C,26.0,16.0,0.619,3.95,116.41,112.4,4.01,3.72,115.9,112.12,3.78
10.0,Milwaukee Bucks,E,C,31.0,13.0,0.705,4.25,122.15,117.99,4.16,3.08,121.47,118.46,3.01
11.0,Indiana Pacers,E,C,24.0,20.0,0.545,1.73,122.34,120.65,1.69,1.43,122.2,120.79,1.41
12.0,Phoenix Suns,W,P,26.0,18.0,0.591,2.41,119.42,116.94,2.48,1.23,119.24,117.98,1.26
13.0,Houston Rockets,W,SW,20.0,23.0,0.465,0.19,114.25,114.0,0.25,0.75,114.52,113.7,0.82
14.0,Orlando Magic,E,SE,23.0,21.0,0.523,0.27,113.34,113.14,0.19,0.84,113.28,112.51,0.77
15.0,Sacramento Kings,W,P,24.0,18.0,0.571,0.62,117.91,117.54,0.38,0.89,117.79,117.13,0.66
16.0,Golden State Warriors,W,P,19.0,22.0,0.463,-0.44,118.69,119.09,-0.4,0.52,119.3,118.74,0.56
17.0,Dallas Mavericks,W,SW,24.0,20.0,0.545,0.32,118.37,118.3,0.07,0.31,119.23,119.16,0.07
18.0,Los Angeles Lakers,W,P,22.0,23.0,0.489,-1.04,114.17,115.36,-1.19,-0.56,114.81,115.51,-0.71
19.0,Miami Heat,E,SE,24.0,20.0,0.545,-0.02,114.57,114.63,-0.06,-1.0,114.24,115.31,-1.07
20.0,Utah Jazz,W,NW,22.0,23.0,0.489,-2.07,116.88,118.99,-2.11,-1.57,117.42,119.03,-1.61
21.0,Chicago Bulls,E,C,21.0,24.0,0.467,-1.44,114.66,116.28,-1.62,-1.66,114.35,116.19,-1.83
22.0,Brooklyn Nets,E,A,17.0,26.0,0.395,-1.65,116.52,118.27,-1.74,-1.83,116.45,118.37,-1.92
23.0,Toronto Raptors,E,A,16.0,28.0,0.364,-2.02,115.88,118.0,-2.12,-1.94,115.99,118.02,-2.03
24.0,Atlanta Hawks,E,SE,18.0,26.0,0.409,-3.14,118.14,121.26,-3.11,-3.23,118.29,121.47,-3.18
25.0,Memphis Grizzlies,W,SW,17.0,27.0,0.386,-5.14,108.96,114.14,-5.18,-4.63,109.03,113.7,-4.67
26.0,San Antonio Spurs,W,SW,8.0,36.0,0.182,-9.34,110.79,119.92,-9.14,-8.78,110.98,119.57,-8.59
27.0,Portland Trail Blazers,W,NW,13.0,31.0,0.295,-9.02,109.72,118.83,-9.1,-8.6,109.4,118.1,-8.7
28.0,Washington Wizards,E,SE,7.0,36.0,0.163,-9.53,112.26,121.65,-9.39,-9.68,111.8,121.33,-9.53
29.0,Detroit Pistons,E,C,5.0,39.0,0.114,-10.18,111.84,121.88,-10.04,-9.99,111.61,121.46,-9.85
30.0,Charlotte Hornets,E,SE,10.0,32.0,0.238,-11.02,111.02,122.34,-11.32,-11.04,111.02,122.33,-11.31
