Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Precious Achiuwa,PF-C,24,TOT,53,14.0,22.5,3.3,6.8,0.49,0.4,1.5,0.25,2.9,5.3,0.559,0.518,1.0,1.6,0.627,2.7,3.9,6.6,1.4,0.6,0.8,1.1,1.9,8.0
2.0,Bam Adebayo,C,26,MIA,49,49.0,34.6,7.7,15.1,0.514,0.0,0.2,0.083,7.7,14.8,0.521,0.514,4.9,6.2,0.778,2.2,8.3,10.5,4.1,1.1,1.0,2.5,2.5,20.3
3.0,Ochai Agbaji,SG,23,TOT,59,10.0,18.9,2.1,4.8,0.427,0.9,2.7,0.327,1.2,2.1,0.556,0.519,0.4,0.5,0.778,0.7,1.7,2.3,0.9,0.5,0.5,0.7,1.3,5.4
4.0,Santi Aldama,PF,23,MEM,48,22.0,25.0,3.9,9.1,0.426,1.6,4.8,0.336,2.3,4.4,0.524,0.514,0.8,1.3,0.597,1.2,4.4,5.6,2.1,0.7,0.7,1.2,1.5,10.2
5.0,Nickeil Alexander-Walker,SG,25,MIN,60,16.0,23.1,2.6,6.1,0.422,1.4,3.9,0.369,1.1,2.2,0.515,0.54,0.6,0.7,0.767,0.4,1.6,2.0,2.6,0.8,0.6,1.0,1.8,7.1
6.0,Grayson Allen,SG,28,PHO,53,53.0,33.2,4.3,8.5,0.502,2.6,5.4,0.477,1.7,3.2,0.545,0.653,1.8,2.0,0.886,0.7,3.3,4.0,3.1,0.8,0.6,1.3,2.2,12.9
7.0,Jarrett Allen,C,25,CLE,54,54.0,31.1,6.4,10.2,0.634,0.0,0.1,0.0,6.4,10.1,0.64,0.634,2.9,3.9,0.733,3.4,7.1,10.5,2.7,0.8,1.1,1.7,2.2,15.7
8.0,Jose Alvarado,PG,25,NOP,40,0.0,17.0,2.6,6.1,0.418,1.3,3.5,0.355,1.3,2.6,0.505,0.52,0.7,1.0,0.675,0.4,1.8,2.2,2.0,1.1,0.4,0.8,1.5,7.0
9.0,Kyle Anderson,PF,30,MIN,58,4.0,22.0,2.4,5.1,0.473,0.1,0.6,0.206,2.3,4.5,0.508,0.485,1.2,1.7,0.7,0.8,2.8,3.5,4.1,0.8,0.5,1.3,1.5,6.2
10.0,Giannis Antetokounmpo,PF,29,MIL,59,59.0,34.9,11.5,18.6,0.619,0.5,1.7,0.301,11.0,16.8,0.652,0.633,7.3,11.0,0.661,2.6,8.7,11.3,6.3,1.3,1.0,3.4,2.9,30.8
11.0,Thanasis Antetokounmpo,PF,31,MIL,26,0.0,4.7,0.5,0.9,0.5,0.0,0.0,0.0,0.5,0.9,0.522,0.5,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.8,0.9
12.0,Cole Anthony,PG,23,ORL,59,0.0,23.1,4.1,9.5,0.433,1.1,3.2,0.33,3.1,6.3,0.487,0.489,2.6,3.1,0.831,0.9,3.1,4.0,3.1,0.8,0.4,1.7,2.5,11.9
13.0,OG Anunoby,SF,26,TOT,41,41.0,34.1,5.8,11.7,0.498,2.1,5.5,0.379,3.7,6.1,0.606,0.588,1.6,2.0,0.774,1.0,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3
14.0,Ryan Arcidiacono,PG,29,NYK,20,0.0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,,
15.0,Deni Avdija,SF,23,WAS,57,57.0,28.4,5.0,9.8,0.51,1.2,2.9,0.412,3.8,6.9,0.551,0.57,2.4,3.2,0.745,1.0,5.6,6.6,3.8,0.8,0.4,2.0,2.5,13.6
16.0,Deandre Ayton,C,25,POR,40,40.0,31.6,6.6,11.6,0.57,0.0,0.0,6.6,11.6,0.57,0.57,1.1,1.3,0.824,3.0,7.6,10.6,1.7,1.1,0.8,1.7,2.2,14.3,
17.0,Udoka Azubuike,C,24,PHO,14,0.0,7.6,1.1,1.6,0.727,0.0,0.0,1.1,1.6,0.727,0.727,0.2,0.8,0.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5,
18.0,Ibou Badji,C,21,POR,18,1.0,11.3,0.7,1.1,0.632,0.0,0.0,0.7,1.1,0.632,0.632,0.3,0.6,0.5,1.1,1.6,2.7,0.7,0.1,1.1,0.8,2.3,1.6,
19.0,Marvin Bagley III,C,24,TOT,43,21.0,21.1,4.8,8.2,0.581,0.1,0.4,0.294,4.7,7.8,0.595,0.588,2.0,2.7,0.744,2.7,3.4,6.1,1.2,0.4,0.7,1.2,1.8,11.7
20.0,Amari Bailey,PG,19,CHO,3,0.0,5.0,0.7,2.3,0.286,0.0,1.0,0.0,0.7,1.3,0.5,0.286,0.3,0.7,0.5,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7
21.0,Patrick Baldwin Jr.,SF,21,WAS,20,0.0,7.6,0.9,2.4,0.383,0.6,1.4,0.407,0.4,1.0,0.35,0.5,0.4,0.6,0.667,0.4,1.8,2.2,0.4,0.1,0.2,0.3,1.1,2.8
22.0,LaMelo Ball,PG,22,CHO,22,22.0,32.3,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
23.0,Mo Bamba,C,25,PHI,37,1.0,11.0,1.5,3.3,0.467,0.4,0.9,0.424,1.2,2.4,0.483,0.525,0.5,0.8,0.586,1.4,2.4,3.8,0.7,0.4,1.0,0.7,1.5,3.9
24.0,Paolo Banchero,PF,21,ORL,58,58.0,34.8,8.1,17.7,0.459,1.5,4.2,0.362,6.6,13.5,0.488,0.501,5.1,7.2,0.701,1.1,5.7,6.8,5.2,1.0,0.5,3.0,2.0,22.8
25.0,Desmond Bane,SG,25,MEM,37,37.0,34.5,8.9,18.8,0.474,3.3,8.6,0.384,5.6,10.2,0.551,0.563,3.3,3.8,0.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
26.0,Dalano Banton,PG,24,TOT,31,1.0,9.5,1.5,3.5,0.413,0.3,1.1,0.257,1.2,2.4,0.486,0.454,0.9,1.3,0.707,0.6,1.3,1.9,1.0,0.3,0.2,0.6,0.8,4.1
27.0,Dominick Barlow,PF,20,SAS,23,1.0,13.3,1.7,3.7,0.476,0.1,0.3,0.429,1.6,3.3,0.481,0.494,1.0,1.5,0.647,1.4,2.2,3.7,1.1,0.4,0.5,0.2,1.4,4.6
28.0,Harrison Barnes,PF,31,SAC,59,59.0,29.6,4.2,8.7,0.484,1.9,4.8,0.401,2.3,3.9,0.586,0.594,1.8,2.3,0.805,0.8,2.1,2.9,1.1,0.7,0.2,0.7,1.3,12.2
29.0,Scottie Barnes,SG,22,TOR,60,60.0,34.9,7.5,15.7,0.475,1.7,4.9,0.341,5.8,10.8,0.536,0.528,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,19.9
30.0,RJ Barrett,SG,23,TOT,49,49.0,31.3,7.1,14.8,0.483,1.6,4.4,0.362,5.5,10.3,0.535,0.537,3.5,4.9,0.72,0.9,4.4,5.2,3.1,0.5,0.3,1.9,2.1,19.4
31.0,Charles Bassey,C,23,SAS,19,0.0,10.8,1.5,2.1,0.725,0.0,0.1,0.0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
32.0,Emoni Bates,SF,20,CLE,10,0.0,7.6,0.6,2.5,0.24,0.5,2.0,0.25,0.1,0.5,0.2,0.34,0.1,0.2,0.5,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
33.0,Keita Bates-Diop,SF,28,TOT,45,8.0,14.1,1.6,3.6,0.438,0.5,1.5,0.309,1.1,2.0,0.533,0.503,0.7,0.9,0.75,0.7,1.6,2.3,0.8,0.5,0.5,0.3,0.8,4.2
34.0,Nicolas Batum,PF,35,TOT,39,29.0,23.8,1.9,3.9,0.503,1.3,2.8,0.441,0.7,1.0,0.675,0.666,0.2,0.4,0.643,1.2,2.5,3.6,2.1,0.6,0.7,0.6,2.0,5.4
35.0,Darius Bazley,PF,23,PHI,3,0.0,3.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.0,,
36.0,Bradley Beal,SG,30,PHO,30,30.0,32.6,7.1,14.4,0.495,1.6,4.5,0.363,5.5,9.9,0.556,0.552,2.3,3.0,0.775,0.8,3.4,4.3,4.5,0.9,0.3,2.4,2.6,18.2
37.0,Malik Beasley,SG,27,MIL,59,59.0,29.5,4.1,8.8,0.469,2.9,6.6,0.447,1.2,2.2,0.534,0.637,0.3,0.5,0.63,0.6,3.3,3.9,1.4,0.8,0.1,0.7,2.0,11.5
38.0,MarJon Beauchamp,SF,23,MIL,44,1.0,13.3,1.7,3.5,0.487,0.6,1.6,0.4,1.0,1.9,0.561,0.579,0.4,0.6,0.679,0.5,1.7,2.2,0.7,0.3,0.1,0.6,1.2,4.4
39.0,Jules Bernard,SG,24,WAS,8,0.0,4.5,0.5,1.6,0.308,0.3,1.1,0.222,0.3,0.5,0.5,0.385,0.1,0.3,0.5,0.4,0.4,0.8,0.6,0.1,0.1,0.3,0.5,1.4
40.0,Dāvis Bertāns,PF,31,TOT,22,0.0,8.3,1.3,3.0,0.433,1.3,2.9,0.444,0.0,0.2,0.25,0.642,0.7,0.8,0.889,0.1,0.5,0.6,0.6,0.2,0.1,0.0,0.8,4.6
41.0,Patrick Beverley,PG,35,TOT,56,5.0,19.1,2.2,5.2,0.426,0.8,2.4,0.331,1.4,2.8,0.506,0.502,1.0,1.2,0.812,0.7,2.4,3.1,3.0,0.5,0.4,1.0,1.7,6.2
42.0,Saddiq Bey,SF,24,ATL,58,46.0,32.5,4.6,10.9,0.418,1.8,5.6,0.321,2.8,5.3,0.521,0.501,2.6,3.1,0.839,2.7,3.8,6.5,1.4,0.8,0.1,0.8,1.4,13.5
43.0,Goga Bitadze,C,24,ORL,49,32.0,17.8,2.3,3.9,0.605,0.0,0.2,0.167,2.3,3.6,0.635,0.611,1.0,1.5,0.658,2.1,3.3,5.3,1.5,0.6,1.4,0.7,2.1,5.7
44.0,Onuralp Bitim,SG,24,CHI,4,0.0,12.3,1.3,3.3,0.385,1.0,2.0,0.5,0.3,1.3,0.2,0.538,0.5,0.5,1.0,0.0,2.5,2.5,0.3,0.0,0.0,0.5,0.8,4.0
45.0,Bismack Biyombo,C,31,TOT,32,27.0,22.7,2.1,3.7,0.563,0.0,0.0,2.1,3.7,0.563,0.563,0.7,1.4,0.478,1.8,4.3,6.0,1.6,0.3,1.1,1.2,2.6,4.9,
46.0,Anthony Black,PG,20,ORL,54,31.0,18.6,1.8,3.8,0.469,0.5,1.4,0.373,1.3,2.4,0.523,0.536,0.9,1.3,0.662,0.5,1.8,2.3,1.5,0.6,0.3,0.9,1.9,5.0
47.0,Leaky Black,SF,24,CHO,22,3.0,9.9,0.8,1.8,0.436,0.3,0.7,0.467,0.5,1.1,0.417,0.526,0.4,0.6,0.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3
48.0,Bogdan Bogdanović,SG,31,ATL,57,11.0,29.2,6.0,14.0,0.428,3.1,8.3,0.371,2.9,5.7,0.511,0.538,1.8,1.9,0.917,0.6,2.7,3.3,2.8,1.2,0.3,1.2,2.4,16.8
