Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1.0,Boston Celtics,E,A,47.0,12.0,0.797,10.73,123.55,112.5,11.05,10.73,123.47,112.42,11.05
2.0,Oklahoma City Thunder,W,NW,41.0,18.0,0.695,7.92,121.46,113.62,7.84,7.75,121.65,113.97,7.68
3.0,Minnesota Timberwolves,W,NW,42.0,18.0,0.7,7.05,116.81,109.55,7.26,6.85,116.77,109.73,7.03
4.0,Los Angeles Clippers,W,P,38.0,20.0,0.655,4.9,121.07,116.16,4.91,4.74,121.21,116.46,4.75
5.0,New Orleans Pelicans,W,SW,36.0,25.0,0.59,4.54,118.61,113.88,4.73,4.38,118.62,114.06,4.55
6.0,Cleveland Cavaliers,E,C,39.0,20.0,0.661,5.07,117.18,111.99,5.2,4.32,116.57,112.11,4.46
7.0,Denver Nuggets,W,NW,41.0,19.0,0.683,4.17,119.1,114.78,4.32,4.2,119.06,114.74,4.32
8.0,New York Knicks,E,A,35.0,25.0,0.583,3.63,118.94,115.16,3.78,3.49,118.81,115.17,3.64
9.0,Milwaukee Bucks,E,C,40.0,21.0,0.656,4.43,120.53,116.13,4.41,3.49,120.15,116.67,3.48
10.0,Philadelphia 76ers,E,A,34.0,25.0,0.576,3.36,119.4,116.02,3.38,2.82,119.0,116.13,2.87
11.0,Golden State Warriors,W,P,32.0,27.0,0.542,2.27,118.96,116.66,2.3,2.68,119.06,116.36,2.7
12.0,Phoenix Suns,W,P,35.0,24.0,0.593,3.05,119.29,116.24,3.05,1.92,118.81,116.93,1.87
13.0,Orlando Magic,E,SE,34.0,26.0,0.567,1.27,114.54,113.21,1.33,1.35,114.39,112.96,1.43
14.0,Indiana Pacers,E,C,34.0,27.0,0.557,1.48,121.53,120.08,1.44,1.2,121.38,120.19,1.19
15.0,Dallas Mavericks,W,SW,34.0,26.0,0.567,0.78,118.98,118.44,0.54,1.04,119.61,118.8,0.81
16.0,Sacramento Kings,W,P,34.0,25.0,0.576,0.32,118.09,117.98,0.11,0.92,118.37,117.66,0.71
17.0,Miami Heat,E,SE,33.0,26.0,0.559,0.63,114.69,114.14,0.55,0.35,114.59,114.32,0.27
18.0,Houston Rockets,W,SW,25.0,34.0,0.424,-0.36,113.45,113.8,-0.35,0.24,113.66,113.42,0.24
19.0,Los Angeles Lakers,W,P,33.0,28.0,0.541,-0.38,115.86,116.33,-0.47,-0.19,116.1,116.39,-0.29
20.0,Chicago Bulls,E,C,28.0,32.0,0.467,-1.48,115.05,116.7,-1.65,-1.72,115.12,117.01,-1.9
21.0,Brooklyn Nets,E,A,23.0,36.0,0.39,-2.39,115.08,117.62,-2.54,-1.95,115.42,117.49,-2.07
22.0,Atlanta Hawks,E,SE,26.0,33.0,0.441,-2.14,119.17,121.35,-2.18,-2.26,119.25,121.53,-2.28
23.0,Utah Jazz,W,NW,27.0,33.0,0.45,-2.9,117.17,120.1,-2.93,-2.87,117.31,120.22,-2.91
24.0,Toronto Raptors,E,A,22.0,38.0,0.367,-3.37,115.32,118.73,-3.41,-3.33,115.08,118.44,-3.36
25.0,Memphis Grizzlies,W,SW,20.0,40.0,0.333,-6.7,108.24,115.11,-6.87,-5.91,108.54,114.62,-6.08
26.0,San Antonio Spurs,W,SW,12.0,48.0,0.2,-8.3,110.86,119.02,-8.16,-7.75,111.26,118.89,-7.62
27.0,Portland Trail Blazers,W,NW,16.0,42.0,0.276,-8.36,110.1,118.61,-8.51,-7.98,110.14,118.28,-8.14
28.0,Detroit Pistons,E,C,9.0,50.0,0.153,-8.68,112.39,120.93,-8.54,-8.41,112.43,120.69,-8.27
29.0,Washington Wizards,E,SE,9.0,51.0,0.15,-10.0,111.37,121.11,-9.74,-9.56,111.24,120.53,-9.29
30.0,Charlotte Hornets,E,SE,15.0,45.0,0.25,-10.48,110.51,121.29,-10.78,-10.49,110.26,121.04,-10.78
