#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
2023-24,,,,,,,,,,,,,,,,,,,,,,,
1,Joel Embiid,PHI,12,34.3,31.9,10.7,21.1,50.6,1.1,3.5,31.0,9.5,10.8,88.4,3.3,7.8,11.1,6.0,1.0,1.6,3.8,36.2,2023-24
2,Luka Doncic,DAL,13,34.8,31.0,10.7,21.0,50.9,4.2,9.8,42.2,5.5,7.4,74.0,0.7,7.2,7.8,8.2,1.0,0.4,4.3,31.8,2023-24
3,Kevin Durant,PHX,12,36.3,30.8,10.6,20.0,52.9,2.2,4.3,50.0,7.4,8.6,86.4,0.4,6.8,7.2,5.1,0.8,1.1,3.7,30.6,2023-24
4,Stephen Curry,GSW,12,33.2,30.3,9.4,19.7,47.9,5.6,12.5,44.7,5.8,6.3,93.3,0.8,4.0,4.8,3.8,0.9,0.2,3.6,25.8,2023-24
5,Shai Gilgeous-Alexander,OKC,12,34.9,29.8,11.3,21.5,52.3,1.4,4.1,34.7,5.8,6.3,92.1,0.8,5.8,6.5,6.0,2.6,0.8,2.3,32.6,2023-24
6,Nikola Jokic,DEN,12,34.8,29.7,11.5,20.1,57.3,1.5,5.0,30.0,5.2,6.3,81.6,3.3,10.8,14.1,9.2,1.0,0.8,3.5,41.4,2023-24
7,Giannis Antetokounmpo,MIL,12,32.6,29.3,11.2,18.8,59.6,0.6,2.3,25.9,6.3,10.0,63.3,2.1,7.8,9.9,4.3,1.0,1.2,4.2,30.3,2023-24
8,Donovan Mitchell,CLE,10,36.2,29.2,10.5,21.6,48.6,3.5,8.9,39.3,4.7,5.3,88.7,0.9,4.0,4.9,5.3,2.0,0.6,2.6,27.7,2023-24
9,Jayson Tatum,BOS,12,36.5,27.5,10.0,19.9,50.2,3.3,9.1,36.7,4.2,5.3,79.4,0.8,7.9,8.7,3.9,1.3,0.2,2.8,27.8,2023-24
10,Tyrese Maxey,PHI,12,38.3,26.9,9.4,19.6,48.1,3.3,7.5,43.3,4.8,5.1,95.1,0.7,4.3,5.0,6.8,0.9,0.8,1.5,28.6,2023-24
11,Anthony Edwards,MIN,12,35.0,26.0,9.5,20.3,46.7,2.6,6.7,38.8,4.4,5.3,82.8,0.8,4.8,5.6,5.1,1.3,0.3,3.5,23.1,2023-24
12,Desmond Bane,MEM,12,34.7,25.5,9.3,20.1,46.1,3.3,9.3,36.0,3.7,4.3,86.3,0.8,3.7,4.5,4.5,1.4,0.8,2.6,22.8,2023-24
12,LeBron James,LAL,12,33.9,25.5,9.6,16.8,57.2,2.3,5.7,39.7,4.1,6.0,68.1,0.6,7.8,8.3,6.3,1.6,0.8,4.2,29.3,2023-24
14,Damian Lillard,MIL,11,33.4,24.8,6.5,16.5,39.8,2.8,8.9,31.6,8.9,9.5,93.3,0.5,3.6,4.2,6.2,1.1,0.1,2.7,23.1,2023-24
15,Tyrese Haliburton,IND,10,33.7,24.7,8.6,16.3,52.8,3.4,7.8,43.6,4.1,4.4,93.2,0.5,3.7,4.2,12.5,1.1,0.7,2.1,33.1,2023-24
16,Paul George,LAC,11,34.6,24.5,8.0,17.4,46.1,3.3,8.4,39.1,5.3,5.6,93.5,0.5,5.2,5.7,3.5,2.4,0.2,3.0,23.6,2023-24
17,LaMelo Ball,CHA,12,33.8,24.4,8.4,19.5,43.2,3.3,8.7,38.5,4.3,4.9,86.4,1.6,3.8,5.3,8.3,1.5,0.3,4.1,24.0,2023-24
18,Jalen Brunson,NYK,13,35.2,24.2,8.5,19.4,43.7,3.2,6.8,47.7,4.0,4.7,85.2,0.8,2.6,3.4,5.0,0.8,0.0,2.1,19.7,2023-24
19,Kyrie Irving,DAL,10,32.9,24.0,9.0,19.0,47.4,2.8,7.2,38.9,3.2,3.7,86.5,0.8,3.3,4.1,6.6,1.2,0.4,1.7,24.1,2023-24
20,Lauri Markkanen,UTA,12,33.8,23.7,7.8,16.4,47.7,3.7,8.8,41.9,4.3,5.0,86.7,2.1,6.0,8.1,1.3,0.9,0.9,1.4,24.3,2023-24
21,Kyle Kuzma,WAS,12,30.4,23.5,9.2,19.8,46.4,2.4,6.8,35.4,2.8,3.5,78.6,1.2,4.8,5.9,3.2,0.2,0.4,2.2,19.7,2023-24
22,Brandon Ingram,NOP,10,34.4,23.4,9.6,19.6,49.0,1.1,4.8,22.9,3.1,4.1,75.6,0.8,4.8,5.6,5.2,0.7,0.2,3.1,21.0,2023-24
23,Trae Young,ATL,11,35.7,23.4,6.3,17.6,35.6,2.0,7.1,28.2,8.8,9.8,89.8,0.6,2.0,2.6,11.1,1.5,0.0,4.1,22.2,2023-24
24,Jaylen Brown,BOS,11,33.9,22.9,8.5,18.1,47.2,2.8,7.5,37.8,3.0,4.1,73.3,0.5,4.5,5.0,3.3,1.0,0.5,2.5,19.5,2023-24
25,Bam Adebayo,MIA,12,34.8,22.8,8.3,15.6,53.5,0.1,0.2,50.0,6.1,7.3,83.0,2.2,8.0,10.2,3.9,1.3,1.2,2.8,28.1,2023-24
26,Jerami Grant,POR,12,36.3,22.7,7.8,18.1,42.9,2.4,6.7,36.3,4.8,6.0,79.2,0.8,3.6,4.4,1.9,0.6,0.8,2.6,16.3,2023-24
