YEAR,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,Joel Embiid,PHI,25.0,34.2,35.0,11.8,21.8,54.0,1.1,3.2,35.0,10.3,11.6,89.3,2.8,8.9,11.7,6.0,1.2,2.0,3.8,40.7
2023-24,Luka Doncic,DAL,28.0,37.1,33.5,11.4,23.4,48.9,4.0,10.4,38.7,6.6,8.5,78.5,0.9,7.6,8.5,9.4,1.4,0.6,4.0,35.6
2023-24,Shai Gilgeous-Alexander,OKC,27.0,34.7,31.0,11.2,20.7,54.2,1.0,3.4,29.7,7.5,8.3,91.0,0.9,4.9,5.7,6.4,2.8,0.8,2.1,34.4
2023-24,Giannis Antetokounmpo,MIL,29.0,34.9,30.8,11.4,19.0,60.1,0.4,1.7,22.0,7.5,11.2,66.9,2.7,8.2,11.0,5.5,1.4,1.2,3.8,34.7
2023-24,Kevin Durant,PHX,25.0,36.8,30.3,10.4,20.2,51.8,2.1,4.5,46.9,7.3,8.3,87.5,0.4,5.8,6.2,5.5,0.8,1.1,3.6,29.4
2023-24,De'Aaron Fox,SAC,23.0,35.1,30.2,10.6,21.8,48.7,3.4,8.6,39.6,5.6,7.6,73.6,1.0,3.6,4.6,6.1,1.7,0.4,2.6,27.1
2023-24,Trae Young,ATL,28.0,36.4,28.1,8.8,20.3,43.3,3.6,9.3,38.5,6.9,8.0,86.6,0.5,2.5,3.0,11.3,1.3,0.2,4.3,27.0
2023-24,Stephen Curry,GSW,28.0,33.5,27.9,8.8,18.9,46.5,4.8,11.6,41.4,5.5,5.9,93.4,0.5,4.0,4.5,4.4,0.7,0.4,3.2,24.2
2023-24,Donovan Mitchell,CLE,22.0,36.5,27.7,9.6,21.3,45.3,3.1,8.8,35.1,5.4,6.0,88.7,1.1,4.5,5.6,5.5,1.8,0.5,2.6,26.1
2023-24,Jayson Tatum,BOS,28.0,36.8,26.9,9.2,19.3,47.7,3.0,8.5,34.7,5.5,6.9,80.3,0.8,7.7,8.5,4.3,0.9,0.5,2.9,26.8
2023-24,Nikola Jokic,DEN,31.0,33.7,26.4,10.1,18.6,54.1,1.1,3.5,32.1,5.1,6.3,81.4,3.3,9.1,12.3,9.2,1.2,0.8,2.6,37.6
2023-24,Damian Lillard,MIL,28.0,35.4,26.2,7.6,17.5,43.6,3.3,8.8,37.7,7.6,8.3,91.8,0.6,3.9,4.5,7.0,1.1,0.2,2.8,25.7
2023-24,Jalen Brunson,NYK,29.0,35.6,26.1,9.3,19.4,48.0,2.9,6.4,45.9,4.5,5.6,80.4,0.7,3.2,4.0,5.9,1.1,0.1,2.2,23.7
2023-24,Tyrese Maxey,PHI,28.0,37.4,25.9,8.9,19.5,45.8,3.3,8.3,39.1,4.8,5.4,88.7,0.5,3.3,3.8,6.7,0.8,0.5,1.5,25.0
2023-24,LeBron James,LAL,28.0,34.3,25.4,9.4,17.4,53.9,2.3,5.5,41.3,4.3,5.8,74.2,1.0,6.8,7.8,7.3,1.5,0.7,3.4,29.7
2023-24,Desmond Bane,MEM,28.0,34.7,25.2,9.2,19.9,46.3,3.5,9.3,37.9,3.3,3.8,85.8,1.0,3.5,4.5,5.3,1.1,0.7,2.9,22.7
2023-24,Anthony Edwards,MIN,26.0,34.3,25.2,8.8,19.4,45.3,2.4,6.5,37.1,5.1,6.0,84.7,0.7,4.9,5.6,5.3,1.4,0.5,3.2,23.2
2023-24,Anthony Davis,LAL,29.0,35.8,24.9,9.4,17.2,54.7,0.4,0.9,40.7,5.7,7.1,80.5,3.4,9.0,12.4,3.2,1.1,2.5,2.0,32.9
2023-24,Tyrese Haliburton,IND,26.0,34.0,24.8,8.8,17.5,50.5,3.6,8.5,42.1,3.6,4.2,85.3,0.7,3.3,4.0,12.1,0.9,0.6,2.8,30.4
2023-24,Kawhi Leonard,LAC,27.0,34.5,24.4,9.0,17.3,52.1,2.3,5.4,42.9,4.0,4.5,87.7,1.1,4.9,5.9,3.5,1.5,0.7,1.5,25.7
2023-24,Cam Thomas,BKN,21.0,31.2,23.5,8.7,19.2,45.3,2.2,6.0,37.3,3.9,4.5,85.3,0.3,2.6,2.9,2.4,0.6,0.4,1.9,16.8
2023-24,Brandon Ingram,NOP,28.0,33.8,23.1,8.7,17.5,49.9,1.3,4.0,33.0,4.4,5.4,82.0,0.6,4.2,4.8,5.4,0.8,0.4,2.7,22.1
