#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
2023-24,,,,,,,,,,,,,,,,,,,,,,,
1,Joel Embiid,PHI,24,34.1,35.1,11.8,21.8,54.1,1.1,3.3,33.3,10.5,11.7,89.3,2.9,8.9,11.8,5.9,1.1,1.9,3.8,40.8,2023-24
2,Luka Doncic,DAL,26,37.0,32.7,11.2,23.2,48.5,3.8,10.2,37.6,6.4,8.2,77.6,0.8,7.6,8.4,9.1,1.3,0.5,4.0,34.2,2023-24
3,Kevin Durant,PHX,23,36.7,31.0,10.8,20.8,51.8,2.2,4.7,46.7,7.3,8.3,87.0,0.4,5.7,6.1,5.6,0.8,1.1,3.4,30.1,2023-24
4,Giannis Antetokounmpo,MIL,27,34.8,30.9,11.4,18.9,60.3,0.4,1.8,20.8,7.7,11.4,67.0,2.7,8.4,11.0,5.4,1.4,1.2,3.9,34.7,2023-24
5,Shai Gilgeous-Alexander,OKC,25,34.6,30.7,11.1,20.8,53.4,1.0,3.3,31.3,7.5,8.2,91.3,0.9,4.8,5.8,6.3,2.8,0.8,2.0,34.0,2023-24
6,De'Aaron Fox,SAC,20,35.0,30.1,10.5,21.8,48.0,3.3,8.3,40.0,5.9,8.0,73.1,0.9,3.5,4.4,6.2,1.6,0.3,2.5,26.5,2023-24
7,Stephen Curry,GSW,25,33.9,28.2,8.8,18.9,46.4,4.8,11.6,41.6,5.9,6.3,93.6,0.6,4.2,4.7,4.4,0.7,0.3,3.4,24.6,2023-24
8,Trae Young,ATL,25,36.0,28.2,8.8,20.2,43.4,3.5,9.0,38.7,7.2,8.3,87.0,0.6,2.4,3.0,11.1,1.3,0.2,4.2,27.0,2023-24
9,Donovan Mitchell,CLE,22,36.5,27.7,9.6,21.3,45.3,3.1,8.8,35.1,5.4,6.0,88.7,1.1,4.5,5.6,5.5,1.8,0.5,2.6,26.1,2023-24
10,Jayson Tatum,BOS,26,36.8,26.8,9.3,19.5,47.6,3.0,8.6,34.5,5.2,6.6,79.5,0.9,7.8,8.7,4.2,1.0,0.5,3.0,26.7,2023-24
11,Nikola Jokic,DEN,28,33.5,26.5,10.3,19.1,53.9,1.2,3.7,32.0,4.8,6.0,78.7,3.3,9.1,12.4,9.3,1.2,0.8,2.6,37.5,2023-24
12,Damian Lillard,MIL,26,35.3,26.2,7.6,17.4,43.6,3.3,8.7,37.9,7.8,8.4,92.2,0.5,4.0,4.5,7.0,1.1,0.2,2.7,25.8,2023-24
13,Tyrese Maxey,PHI,26,37.0,26.1,9.0,19.4,46.2,3.3,8.3,40.0,4.9,5.4,90.1,0.6,3.3,3.8,6.7,0.8,0.5,1.5,25.5,2023-24
14,Jalen Brunson,NYK,27,35.5,25.3,8.9,18.8,47.2,3.0,6.6,45.8,4.5,5.6,80.1,0.7,3.3,4.0,5.9,1.1,0.1,2.3,23.0,2023-24
15,LeBron James,LAL,26,34.1,25.2,9.4,17.5,54.0,2.2,5.7,39.2,4.1,5.7,72.3,1.0,6.7,7.7,7.3,1.5,0.7,3.4,29.4,2023-24
16,Anthony Edwards,MIN,24,34.2,24.8,8.7,19.3,45.2,2.4,6.4,37.9,5.0,5.8,85.6,0.7,4.9,5.5,5.1,1.4,0.5,3.1,22.9,2023-24
17,Desmond Bane,MEM,26,34.4,24.7,9.1,19.6,46.3,3.4,9.0,38.2,3.1,3.7,85.3,1.0,3.4,4.5,5.2,1.2,0.7,3.0,22.1,2023-24
18,Kawhi Leonard,LAC,27,34.5,24.4,9.0,17.3,52.1,2.3,5.4,42.9,4.0,4.5,87.7,1.1,4.9,5.9,3.5,1.5,0.7,1.5,25.7,2023-24
19,Tyrese Haliburton,IND,24,33.6,24.3,8.5,17.2,49.8,3.5,8.5,40.9,3.8,4.4,86.7,0.7,3.3,4.0,12.0,0.8,0.6,2.8,29.9,2023-24
20,Anthony Davis,LAL,27,35.5,24.3,9.1,16.7,54.6,0.3,0.8,36.4,5.7,7.0,81.5,3.4,9.1,12.4,3.0,1.1,2.6,1.9,32.6,2023-24
21,Kyle Kuzma,WAS,27,31.3,23.6,9.1,19.2,47.2,2.4,6.6,36.5,3.0,3.9,77.1,0.9,5.2,6.1,4.3,0.3,0.6,2.4,21.4,2023-24
22,Brandon Ingram,NOP,26,33.4,23.3,8.8,17.6,50.1,1.3,4.1,33.0,4.3,5.3,81.8,0.6,4.3,4.8,5.3,0.7,0.2,2.8,21.8,2023-24
23,Paul George,LAC,26,34.6,22.8,7.9,17.5,45.3,3.3,8.2,40.1,3.7,4.0,93.3,0.6,5.0,5.7,4.2,1.7,0.3,2.2,22.6,2023-24
24,Jaylen Brown,BOS,26,34.0,22.7,8.9,18.6,47.8,2.2,6.5,33.3,2.8,3.8,74.5,0.8,4.1,4.8,3.7,1.1,0.7,2.4,20.0,2023-24
25,Julius Randle,NYK,27,35.3,22.7,8.3,17.9,46.4,1.5,5.2,29.3,4.6,6.1,75.2,2.1,7.4,9.5,5.2,0.6,0.2,3.2,23.9,2023-24
26,Jerami Grant,POR,23,35.3,22.6,7.7,16.8,45.6,2.6,6.2,42.0,4.7,5.7,82.3,0.7,3.1,3.8,2.5,0.8,0.8,2.3,18.0,2023-24
27,Cade Cunningham,DET,28,34.8,22.4,8.3,19.1,43.5,1.9,5.7,32.5,3.9,4.5,88.0,0.5,3.5,4.0,7.1,1.0,0.3,4.0,19.5,2023-24
28,DeMar DeRozan,CHI,28,36.4,22.3,7.8,17.1,45.6,0.9,2.6,35.6,5.8,7.0,82.7,0.8,3.0,3.7,5.4,1.0,0.9,1.4,21.4,2023-24
29,Karl-Anthony Towns,MIN,27,33.3,22.2,8.0,15.6,51.5,2.0,4.7,42.1,4.1,4.6,89.6,1.6,7.9,9.5,3.0,0.9,0.6,2.8,25.4,2023-24
30,Zion Williamson,NOP,23,30.5,22.0,8.7,15.1,57.8,0.1,0.3,28.6,4.5,6.9,65.2,2.0,3.8,5.8,4.6,1.0,0.3,2.5,22.5,2023-24
31,Mikal Bridges,BKN,27,34.7,21.7,7.7,16.9,45.7,2.2,5.9,37.7,4.0,4.7,85.2,1.0,4.4,5.4,3.7,1.0,0.4,2.4,19.9,2023-24
32,Jimmy Butler,MIA,23,34.0,21.5,6.7,14.5,46.2,0.9,2.3,37.7,7.3,8.3,87.9,2.0,3.2,5.2,4.6,1.1,0.4,1.8,22.2,2023-24
33,Jaren Jackson Jr.,MEM,27,31.5,21.5,7.3,16.0,45.5,1.6,5.1,31.9,5.3,6.3,83.0,1.5,4.3,5.8,1.7,0.7,1.8,2.1,19.6,2023-24
34,Pascal Siakam,TOR,27,34.6,21.0,8.0,15.9,50.7,1.0,3.7,26.0,4.0,5.4,74.0,1.6,5.1,6.7,4.9,0.9,0.2,2.3,22.1,2023-24
35,Paolo Banchero,ORL,27,33.7,20.7,7.5,16.0,46.7,1.3,3.5,38.3,4.4,6.4,68.8,1.3,5.6,6.9,4.5,1.0,0.6,3.2,19.9,2023-24
36,Scottie Barnes,TOR,27,35.0,20.6,7.8,15.8,49.3,2.0,5.1,38.1,3.1,4.1,75.0,2.7,6.6,9.2,5.7,1.5,1.3,2.5,26.9,2023-24
37,Franz Wagner,ORL,27,33.5,20.1,7.5,16.6,45.2,1.4,4.9,27.8,3.8,4.6,82.9,1.1,4.7,5.8,4.0,1.1,0.3,1.7,19.8,2023-24
38,Dejounte Murray,ATL,27,34.3,20.0,7.6,16.9,45.2,2.3,6.0,37.4,2.5,2.9,84.8,0.8,3.6,4.3,5.4,1.5,0.4,2.1,19.8,2023-24
39,Alperen Sengun,HOU,25,32.0,19.7,8.0,15.1,52.9,0.7,2.3,29.3,3.0,4.5,67.0,2.5,6.4,8.9,5.2,0.9,0.9,2.6,24.5,2023-24
