RANK,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,YEAR
1,BOS,24,19,5,0.792,48.4,117.8,42.4,88.6,47.8,15.7,42.6,36.9,17.3,21.6,80.2,10.5,35.7,46.1,25.0,13.8,7.0,6.1,3.7,17.7,18.6,8.8,2023-24
2,MIN,23,18,5,0.783,48.2,113.0,41.0,85.5,48.0,11.8,31.9,37.1,19.2,24.3,78.9,9.9,36.0,45.9,25.6,15.0,7.2,6.3,4.8,19.4,20.7,7.3,2023-24
3,MIL,24,17,7,0.708,48.4,123.3,44.4,88.8,50.0,14.1,37.0,38.1,20.4,26.5,76.9,9.4,34.4,43.8,25.5,13.7,7.2,5.7,4.3,20.0,21.0,3.9,2023-24
3,PHI,24,17,7,0.708,48.2,122.4,42.9,89.6,47.9,12.3,32.6,37.7,24.3,28.5,85.1,12.2,33.7,45.9,26.0,13.2,9.0,6.1,5.9,20.6,20.5,10.2,2023-24
5,ORL,24,16,8,0.667,48.0,113.9,41.4,86.5,47.9,10.2,29.5,34.6,21.0,27.3,76.7,11.0,32.6,43.6,25.3,15.4,8.4,5.5,5.0,21.8,23.3,4.2,2023-24
6,DEN,26,17,9,0.654,48.0,114.6,44.1,90.2,48.9,11.6,31.5,36.8,14.8,20.7,71.9,11.4,33.1,44.5,29.7,12.5,7.1,5.2,5.0,19.0,19.2,4.1,2023-24
7,OKC,23,15,8,0.652,48.4,120.5,43.7,89.5,48.9,12.8,33.0,38.7,20.2,23.7,85.5,8.5,32.6,41.1,25.4,13.0,8.7,6.2,5.3,20.4,20.3,7.0,2023-24
8,DAL,24,15,9,0.625,48.0,119.4,42.9,90.7,47.3,15.9,42.5,37.4,17.7,23.5,75.5,10.2,31.8,42.0,25.7,12.0,6.4,4.7,4.1,18.3,21.7,2.4,2023-24
9,SAC,23,14,9,0.609,48.4,116.8,42.0,90.3,46.5,15.1,41.6,36.3,17.6,23.7,74.3,10.8,33.0,43.8,27.9,13.8,7.2,3.9,4.6,20.9,20.0,-0.3,2023-24
10,HOU,22,13,9,0.591,48.2,109.5,39.8,87.1,45.7,12.4,34.4,36.1,17.5,22.9,76.4,10.2,35.9,46.1,25.3,13.3,6.3,4.5,5.2,21.9,19.9,4.4,2023-24
11,LAC,24,14,10,0.583,48.2,114.4,41.8,87.7,47.7,12.0,32.2,37.3,18.8,23.8,79.0,10.7,33.5,44.1,25.0,13.4,8.6,5.3,4.7,20.2,20.6,4.9,2023-24
11,NYK,24,14,10,0.583,48.0,114.2,41.2,89.3,46.2,13.5,35.3,38.4,18.2,24.5,74.4,13.3,32.3,45.5,24.1,13.1,7.8,3.1,5.1,17.9,21.0,3.7,2023-24
13,LAL,26,15,11,0.577,48.4,114.0,42.2,86.4,48.8,10.5,30.1,35.0,19.1,25.2,75.7,8.8,35.8,44.6,27.0,14.4,7.7,5.6,4.5,17.3,20.9,0.5,2023-24
13,NOP,26,15,11,0.577,48.0,114.8,41.9,87.8,47.7,10.9,30.5,35.6,20.2,26.3,76.7,11.0,33.4,44.4,26.1,13.7,8.2,4.5,5.1,20.0,20.8,0.8,2023-24
15,IND,23,13,10,0.565,48.0,128.2,48.1,95.3,50.5,14.6,38.4,37.9,17.4,22.1,78.8,10.0,30.4,40.4,30.5,13.1,7.8,6.3,6.0,22.7,19.2,2.2,2023-24
16,MIA,25,14,11,0.56,48.0,112.8,40.2,85.5,47.1,12.9,33.0,39.2,19.4,23.2,83.6,9.4,31.7,41.1,26.4,13.3,7.6,3.2,5.0,18.7,20.2,1.0,2023-24
17,BKN,24,13,11,0.542,48.2,116.3,43.0,91.5,47.0,14.5,37.6,38.5,15.7,20.2,77.7,12.5,35.3,47.7,25.9,13.2,6.2,5.5,4.5,18.5,18.3,2.0,2023-24
18,CLE,25,13,12,0.52,48.2,110.5,41.3,87.2,47.4,11.4,33.1,34.5,16.4,21.0,77.9,10.6,33.6,44.2,24.9,14.6,8.0,4.7,5.4,19.2,19.0,-0.4,2023-24
18,PHX,25,13,12,0.52,48.6,115.4,40.5,85.4,47.4,12.2,31.8,38.2,22.3,26.7,83.4,10.7,32.9,43.6,26.2,14.8,6.9,6.6,5.1,19.3,22.1,1.2,2023-24
20,ATL,24,10,14,0.417,48.2,122.6,44.3,94.3,46.9,14.2,37.9,37.4,19.9,23.9,83.4,13.5,31.3,44.8,25.8,13.8,8.6,4.5,6.0,18.8,19.8,0.1,2023-24
20,GSW,24,10,14,0.417,48.4,115.5,40.6,90.0,45.1,14.8,40.4,36.6,19.5,24.8,78.8,13.3,34.0,47.3,27.4,15.7,7.0,3.3,4.5,22.3,20.6,-0.1,2023-24
22,TOR,25,10,15,0.4,48.4,112.5,42.4,90.3,47.0,11.4,33.4,34.1,16.2,22.3,72.6,12.4,32.7,45.0,29.0,14.2,7.7,4.7,5.2,18.7,18.7,-2.3,2023-24
23,CHI,26,10,16,0.385,48.8,109.7,40.5,90.6,44.7,12.2,33.3,36.4,16.5,21.2,77.9,12.1,30.7,42.8,23.6,11.8,8.1,4.6,4.9,20.1,19.4,-3.8,2023-24
24,UTA,25,9,16,0.36,48.6,112.0,40.9,90.9,45.0,13.2,37.8,35.0,17.0,21.0,81.0,13.8,32.9,46.7,26.7,17.3,6.7,6.0,6.4,20.0,19.3,-7.8,2023-24
25,CHA,23,7,16,0.304,48.2,112.7,42.5,89.3,47.5,11.6,31.2,37.1,16.2,20.5,79.2,11.0,31.0,42.0,25.7,14.0,7.0,4.8,4.7,20.3,18.8,-7.7,2023-24
26,POR,23,6,17,0.261,48.7,106.8,39.1,90.5,43.2,12.2,35.2,34.6,16.4,20.6,79.5,12.5,28.6,41.1,22.3,15.6,8.8,4.5,6.7,20.6,19.0,-6.9,2023-24
27,MEM,24,6,18,0.25,48.2,106.0,39.1,89.9,43.5,12.8,38.6,33.2,15.0,19.5,77.3,10.4,31.6,42.0,23.8,14.5,7.6,6.4,6.8,21.5,19.1,-6.3,2023-24
28,SAS,24,4,20,0.167,48.4,110.6,41.5,91.3,45.4,12.9,37.4,34.4,14.8,18.9,78.6,10.1,33.2,43.3,29.0,16.0,6.9,6.0,3.8,19.7,18.6,-10.5,2023-24
28,WAS,24,4,20,0.167,48.0,116.8,44.0,90.5,48.6,12.1,34.0,35.5,16.7,21.5,77.7,8.3,30.9,39.1,28.0,14.3,7.7,5.0,5.5,19.8,19.0,-10.0,2023-24
30,DET,25,2,23,0.08,48.0,108.1,40.6,88.0,46.2,9.9,29.7,33.4,16.9,21.3,79.3,11.3,32.6,43.9,25.7,16.9,6.1,5.4,6.2,22.8,18.0,-11.3,2023-24
